,name,latitude,longitude,type
0,Association Saint Simon,48.856385,2.323838,"{'typepoint': {'type': 'Point', 'coordinates': [48.856385, 2.323838]}}"
1,Ecole Maternelle Buffault,48.876445,2.342472,"{'typepoint': {'type': 'Point', 'coordinates': [48.876445, 2.342472]}}"
2,O G E C Notre Dame Sion Sainte Marie O.G.E.C. Notre Dame de Sion Sainte Marie,48.843864,2.330961,"{'typepoint': {'type': 'Point', 'coordinates': [48.843864, 2.330961]}}"
3,École At Montessori Villars,48.852217,2.313227,"{'typepoint': {'type': 'Point', 'coordinates': [48.852217, 2.313227]}}"
4,École Maternelle 102 Alleray,48.836166,2.309357,"{'typepoint': {'type': 'Point', 'coordinates': [48.836166, 2.309357]}}"
5,Ecole Maternelle Place Lachambaudie,48.835482,2.386415,"{'typepoint': {'type': 'Point', 'coordinates': [48.835482, 2.386415]}}"
6,The Garden Academy,48.83756,2.29016,"{'typepoint': {'type': 'Point', 'coordinates': [48.83756, 2.29016]}}"
7,École Maternelle Murat,48.840042,2.255455,"{'typepoint': {'type': 'Point', 'coordinates': [48.840042, 2.255455]}}"
8,Maternelle du Parc des Princes,48.840481,2.254842,"{'typepoint': {'type': 'Point', 'coordinates': [48.840481, 2.254842]}}"
9,École Maternelle Françoise Dolto,48.917193,2.387252,"{'typepoint': {'type': 'Point', 'coordinates': [48.917193, 2.387252]}}"
