,name,latitude,longitude,type
0,Pigalle Duperré,48.882154,2.335587,"{'typepoint': {'type': 'Point', 'coordinates': [48.882154, 2.335587]}}"
1,Gymnase Mouchotte,48.838446,2.319953,"{'typepoint': {'type': 'Point', 'coordinates': [48.838446, 2.319953]}}"
2,PIGALLE's Basketball playground,48.885411,2.340661,"{'typepoint': {'type': 'Point', 'coordinates': [48.885411, 2.340661]}}"
3,Gymnases Gymnase et Tennis Mouchotte,48.837762,2.319462,"{'typepoint': {'type': 'Point', 'coordinates': [48.837762, 2.319462]}}"
4,Playground basket Charrière,48.853078,2.381872,"{'typepoint': {'type': 'Point', 'coordinates': [48.853078, 2.381872]}}"
5,Stade Jean Rey,48.856841,2.291598,"{'typepoint': {'type': 'Point', 'coordinates': [48.856841, 2.291598]}}"
6,Gymnase Chaumont,48.88465,2.397687,"{'typepoint': {'type': 'Point', 'coordinates': [48.88465, 2.397687]}}"
7,Stade Suchet,48.854611,2.261933,"{'typepoint': {'type': 'Point', 'coordinates': [48.854611, 2.261933]}}"
8,Stade de Vanves,48.818436,2.282375,"{'typepoint': {'type': 'Point', 'coordinates': [48.818436, 2.282375]}}"
9,Terrains de Basket Levallois,48.901079,2.281542,"{'typepoint': {'type': 'Point', 'coordinates': [48.901079, 2.281542]}}"
