,name,category_code,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
0,Kewego,games_video,"[{'description': 'HQ', 'address1': '111, rue Cardinet', 'address2': '', 'zip_code': '75017', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 46.227638, 'longitude': 2.213749}]",HQ,"111, rue Cardinet",,75017,Paris,,FRA,46.227638,2.213749
1,EMOB,games_video,"[{'description': None, 'address1': '195 rue Jean Jaures', 'address2': '', 'zip_code': '83000', 'city': 'Toulon', 'state_code': None, 'country_code': 'FRA', 'latitude': 43.124351, 'longitude': 5.929313}]",,195 rue Jean Jaures,,83000,Toulon,,FRA,43.124351,5.929313
2,itbreaks,games_video,"[{'description': None, 'address1': '28 rue carnot', 'address2': '', 'zip_code': '93310', 'city': 'Pre st gervais', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.887824, 'longitude': 2.402304}]",,28 rue carnot,,93310,Pre st gervais,,FRA,48.887824,2.402304
3,weeloop,games_video,"[{'description': None, 'address1': '15 ter rue de Provence', 'address2': '', 'zip_code': '44700', 'city': 'Orvault', 'state_code': None, 'country_code': 'FRA', 'latitude': 47.24496, 'longitude': -1.588593}]",,15 ter rue de Provence,,44700,Orvault,,FRA,47.24496,-1.588593
4,sph3re,games_video,"[{'description': None, 'address1': '11 rue Philippe Jourde', 'address2': '', 'zip_code': '13500', 'city': 'Martigues', 'state_code': None, 'country_code': 'FRA', 'latitude': 43.400422, 'longitude': 5.055732}]",,11 rue Philippe Jourde,,13500,Martigues,,FRA,43.400422,5.055732
5,Mediastay,games_video,"[{'description': 'MEDIASTAY SAS', 'address1': '45 rue Jean Jaures', 'address2': '', 'zip_code': '92300', 'city': 'Levallois Perret', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.891494, 'longitude': 2.292728}, {'description': 'MEDIASTAY NORTH AMERICA', 'address1': '350 Sansome Street', 'address2': '', 'zip_code': '94104', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",MEDIASTAY SAS,45 rue Jean Jaures,,92300,Levallois Perret,,FRA,48.891494,2.292728
7,YOOWALK,games_video,"[{'description': '', 'address1': '28 rue FrÃ©micourt', 'address2': '', 'zip_code': '75015', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8475487, 'longitude': 2.2992348}]",,28 rue FrÃ©micourt,,75015,Paris,,FRA,48.8475487,2.2992348
8,Wevod,games_video,"[{'description': 'Wevod / Mailemotion', 'address1': '97 rue du Cherche Midi', 'address2': '', 'zip_code': '75006', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.846726, 'longitude': 2.321213}]",Wevod / Mailemotion,97 rue du Cherche Midi,,75006,Paris,,FRA,48.846726,2.321213
9,Wevod,games_video,"[{'description': 'Wevod / Mailemotion', 'address1': '97 rue du Cherche Midi', 'address2': '', 'zip_code': '75006', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.846726, 'longitude': 2.321213}]",Wevod / Mailemotion,97 rue du Cherche Midi,,75006,Paris,,FRA,48.846726,2.321213
11,DigitalDeejay,games_video,"[{'description': 'World Headquarter', 'address1': '19 MONTEE DE L EGLISE', 'address2': '', 'zip_code': '69300', 'city': 'CALUIRE ET CUIRE', 'state_code': None, 'country_code': 'FRA', 'latitude': 45.792717, 'longitude': 4.830048}]",World Headquarter,19 MONTEE DE L EGLISE,,69300,CALUIRE ET CUIRE,,FRA,45.792717,4.830048
12,deltatre,games_video,"[{'description': 'Headquarter', 'address1': 'via millio 41', 'address2': '', 'zip_code': '10141', 'city': 'Torino', 'state_code': None, 'country_code': 'ITA', 'latitude': 45.058576, 'longitude': 7.649614}, {'description': 'London', 'address1': '3 Palmerston Road', 'address2': '', 'zip_code': 'SW19 1PG', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'description': 'Lausanne', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Lausanne', 'state_code': None, 'country_code': 'CHE', 'latitude': None, 'longitude': None}, {'description': 'Paris', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': None, 'longitude': None}, {'description': 'New York', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'New York', 'state_code': None, 'country_code': 'USA', 'latitude': None, 'longitude': None}]",Headquarter,via millio 41,,10141,Torino,,ITA,45.058576,7.649614
13,Awdio,games_video,"[{'description': 'HQ', 'address1': '33 rue Stephenson', 'address2': '', 'zip_code': '75018', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.887534, 'longitude': 2.356288}]",HQ,33 rue Stephenson,,75018,Paris,,FRA,48.887534,2.356288
14,Citizenside,games_video,"[{'description': 'Paris Bureau', 'address1': 'Level 5', 'address2': '52 boulevard Sébastopol', 'zip_code': '75003', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8926988, 'longitude': 2.3179601}]",Paris Bureau,Level 5,52 boulevard Sébastopol,75003,Paris,,FRA,48.8926988,2.3179601
16,MadWaves,games_video,"[{'description': 'Research and Development', 'address1': '1 Traverse des Brucs', 'address2': '', 'zip_code': '06560', 'city': 'Sophia Antipolis', 'state_code': None, 'country_code': 'FRA', 'latitude': 43.6273729, 'longitude': 7.0524451}]",Research and Development,1 Traverse des Brucs,,06560,Sophia Antipolis,,FRA,43.6273729,7.0524451
17,Mobitween,games_video,"[{'description': '', 'address1': '11, rue du Docteur Guionis', 'address2': '', 'zip_code': '92500', 'city': 'Reuil-Malmaison', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8836859, 'longitude': 2.181018}]",,"11, rue du Docteur Guionis",,92500,Reuil-Malmaison,,FRA,48.8836859,2.181018
18,Vibeex,games_video,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8566667, 'longitude': 2.3509871}]",,,,,Paris,,FRA,48.8566667,2.3509871
19,Digiprof,games_video,"[{'description': 'Headquarters', 'address1': '228 Route des Jolis', 'address2': '', 'zip_code': '38850', 'city': 'Chirens', 'state_code': None, 'country_code': 'FRA', 'latitude': 45.4092403, 'longitude': 5.5511813}]",Headquarters,228 Route des Jolis,,38850,Chirens,,FRA,45.4092403,5.5511813
20,Owlient,games_video,"[{'description': 'Main Office', 'address1': '26-28 rue de ChambÃ©ry', 'address2': '', 'zip_code': '75015', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8308091, 'longitude': 2.3032201}]",Main Office,26-28 rue de ChambÃ©ry,,75015,Paris,,FRA,48.8308091,2.3032201
22,Preview Networks,games_video,"[{'description': 'European Headquarters', 'address1': 'Njalsgade 21F', 'address2': '', 'zip_code': '2300', 'city': 'Copenhagen', 'state_code': None, 'country_code': 'DNK', 'latitude': 55.6659813, 'longitude': 12.5800751}, {'description': 'London Office', 'address1': '91 Berwick Street', 'address2': '', 'zip_code': 'W1F0NE', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'description': 'Berlin Office', 'address1': 'Rosenthaler Strasse 34/35', 'address2': '', 'zip_code': 'D-10178', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}, {'description': 'Paris Office', 'address1': ""27 Avenue de l'OpÃ©ra"", 'address2': '', 'zip_code': '75001', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': None, 'longitude': None}, {'description': 'Milan Office', 'address1': ""via Guido d'Arezzo, 4"", 'address2': '', 'zip_code': '20145', 'city': 'Milan', 'state_code': None, 'country_code': 'ITA', 'latitude': None, 'longitude': None}, {'description': 'Stockholm Office', 'address1': 'Klarabergsg. 29, 5 fl.', 'address2': '', 'zip_code': '11121', 'city': 'Stockholm', 'state_code': None, 'country_code': 'SWE', 'latitude': None, 'longitude': None}]",European Headquarters,Njalsgade 21F,,2300,Copenhagen,,DNK,55.6659813,12.5800751
23,Mediastroika,games_video,"[{'description': 'Headquarters', 'address1': '42 rue Godefroy Cavaignac', 'address2': '', 'zip_code': '75011', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8557544, 'longitude': 2.3808328}]",Headquarters,42 rue Godefroy Cavaignac,,75011,Paris,,FRA,48.8557544,2.3808328
24,2 Minutes,games_video,"[{'description': '', 'address1': '9 rue biscornet', 'address2': '', 'zip_code': '75012', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8502056, 'longitude': 2.3698033}]",,9 rue biscornet,,75012,Paris,,FRA,48.8502056,2.3698033
25,BetKlub,games_video,"[{'description': 'Paris Office', 'address1': '17 rue EugÃ¨ne Varlin', 'address2': '', 'zip_code': '75010', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8787606, 'longitude': 2.3639174}]",Paris Office,17 rue EugÃ¨ne Varlin,,75010,Paris,,FRA,48.8787606,2.3639174
