,name,category_code,offices,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
0,Adknowledge,advertising,"[{'description': 'World Headquarters', 'address1': '4600 Madison Ave., 10th Floor', 'address2': '', 'zip_code': '64112', 'city': 'Kansas City', 'state_code': 'MO', 'country_code': 'USA', 'latitude': 39.044694, 'longitude': -94.597896}, {'description': 'Adknowledge New York', 'address1': '7 Penn Plaza', 'address2': '370 Seventh Ave., 17th Fl.', 'zip_code': '10001', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.748901, 'longitude': -73.992463}, {'description': 'Adknowledge San Francisco', 'address1': '33 New Montgomery St.', 'address2': 'Suite 220', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.78866, 'longitude': -122.401406}, {'description': 'Adknowledge Fort Myers', 'address1': '5220 Summerlin Commons Blvd.', 'address2': 'Suite 501', 'zip_code': '33907', 'city': 'Fort Myers', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 26.580095, 'longitude': -81.879069}, {'description': 'Adknowledge Toronto', 'address1': '129 Spadina Ave.', 'address2': '#400', 'zip_code': 'M5V 2L3', 'city': 'Toronto', 'state_code': None, 'country_code': 'CAN', 'latitude': 43.6474554, 'longitude': -79.3953743}, {'description': 'Adknowledge UK', 'address1': '4th Floor Stanford House', 'address2': '27a Floral St.', 'zip_code': 'WC2E 9EZ', 'city': 'Covent Garden, London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5114403, 'longitude': -0.1229212}, {'description': 'Adknowledge Germany', 'address1': 'Adams-Lehmann-Str. 56, 80797', 'address2': '', 'zip_code': '', 'city': 'Munich', 'state_code': None, 'country_code': 'DEU', 'latitude': 48.1635092, 'longitude': 11.5582609}, {'description': 'Adknowledge France', 'address1': '161, rue du Faubourg Saint-Antoine', 'address2': '', 'zip_code': '75011', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8506065, 'longitude': 2.3797825}, {'description': 'Adknowledge China', 'address1': '3/F Silver Court', 'address2': 'No. 85 Tao Yuan Lu', 'zip_code': '200021', 'city': 'Shanghai', 'state_code': None, 'country_code': 'CHN', 'latitude': 31.222622, 'longitude': 121.4770384}]",Adknowledge France,"161, rue du Faubourg Saint-Antoine",,75011,Paris,,FRA,48.8506065,2.3797825
1,eXelate,advertising,"[{'description': 'Headquarters', 'address1': '7 West 22nd Street', 'address2': '9th Floor', 'zip_code': '10010', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.741266, 'longitude': -73.990753}, {'description': 'San Francisco', 'address1': '156 2nd Street', 'address2': '', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.787249, 'longitude': -122.3990501}, {'description': 'Chicago', 'address1': '954 W. Washington Blvd.', 'address2': 'Suite 500', 'zip_code': '60607', 'city': 'Chicago', 'state_code': 'IL', 'country_code': 'USA', 'latitude': 41.8831959, 'longitude': -87.6517774}, {'description': 'Israel (R&D)', 'address1': '15 Atir Yeda Street', 'address2': '4th Floor', 'zip_code': '44643', 'city': 'Kfar-Saba', 'state_code': None, 'country_code': 'ISR', 'latitude': 32.1618634, 'longitude': 34.9341664}, {'description': 'Paris', 'address1': '75 Boulevard Haussmann', 'address2': '', 'zip_code': '75008', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8743443, 'longitude': 2.3226888}, {'description': 'UK', 'address1': '36 Soho Square', 'address2': '', 'zip_code': 'W1D 3QY', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5150129, 'longitude': -0.1326786}]",Paris,75 Boulevard Haussmann,,75008,Paris,,FRA,48.8743443,2.3226888
3,AdParlor,advertising,"[{'description': 'Toronto Office', 'address1': '129 Spadina Avenue', 'address2': 'Suite 400', 'zip_code': 'M5V 2L3', 'city': 'Toronto, Ontario', 'state_code': None, 'country_code': 'CAN', 'latitude': 43.8356434, 'longitude': -79.4418543}, {'description': 'New York', 'address1': '304 Hudson St.', 'address2': '6th Floor', 'zip_code': '10003', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.7262412, 'longitude': -74.0073271}, {'description': 'London', 'address1': 'Stanford House 27a Floral St.', 'address2': '4th Floor', 'zip_code': 'WC2E 9EZ', 'city': 'Covent Garden, London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5119883, 'longitude': -0.1260146}, {'description': 'San Francisco', 'address1': '33 New Montgomery St.', 'address2': 'Suite 220', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.78866, 'longitude': -122.401406}, {'description': 'Shanghai', 'address1': '3/F Silver Court No. 85 Tao Yuan Lu', 'address2': 'Lu Wan Qu', 'zip_code': '200021', 'city': 'Shanghai', 'state_code': None, 'country_code': 'CHN', 'latitude': 31.224588, 'longitude': 121.480029}, {'description': 'Paris', 'address1': '161, rue du Faubourg', 'address2': 'Saint-Antoine', 'zip_code': '75011', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8506065, 'longitude': 2.3797825}]",Paris,"161, rue du Faubourg",Saint-Antoine,75011,Paris,,FRA,48.8506065,2.3797825
4,NewQuest,advertising,"[{'description': 'NewQuest - Chamb̩ry', 'address1': '180 rue du Genevois', 'address2': 'Bat C', 'zip_code': '73000', 'city': 'CHAMBERY', 'state_code': None, 'country_code': 'FRA', 'latitude': 45.591163, 'longitude': 5.92224}, {'description': 'NewQuest - Paris', 'address1': '50 av Ernest Pivot', 'address2': '', 'zip_code': '93270', 'city': 'SEVRAN', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.927697, 'longitude': 2.531457}]",NewQuest - Chamb̩ry,180 rue du Genevois,Bat C,73000,CHAMBERY,,FRA,45.591163,5.92224
4,NewQuest,advertising,"[{'description': 'NewQuest - Chamb̩ry', 'address1': '180 rue du Genevois', 'address2': 'Bat C', 'zip_code': '73000', 'city': 'CHAMBERY', 'state_code': None, 'country_code': 'FRA', 'latitude': 45.591163, 'longitude': 5.92224}, {'description': 'NewQuest - Paris', 'address1': '50 av Ernest Pivot', 'address2': '', 'zip_code': '93270', 'city': 'SEVRAN', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.927697, 'longitude': 2.531457}]",NewQuest - Paris,50 av Ernest Pivot,,93270,SEVRAN,,FRA,48.927697,2.531457
5,Coremetrics,advertising,"[{'description': 'Corporate Headquarters', 'address1': '1840 Gateway Drive', 'address2': 'Suite 320', 'zip_code': '94404', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.55873, 'longitude': -122.27992}, {'description': 'Coremetrics Europe', 'address1': 'Gainsborough House', 'address2': '59-60 Thames Street', 'zip_code': 'SL4 1TX', 'city': 'Windsor, Berkshire', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'description': 'Coremetrics GmbH', 'address1': 'Chilehaus A', 'address2': 'Fischertwiete 2', 'zip_code': 'D-20095', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}, {'description': 'Coremetrics France', 'address1': '25B Avenue du Petit Parc', 'address2': '', 'zip_code': '94300', 'city': 'Vincennes', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.843399, 'longitude': 2.428526}, {'description': 'Australia and New Zealand', 'address1': 'Level 27, 101 Collins Street', 'address2': '', 'zip_code': 'Vic 3000', 'city': 'Melbourne', 'state_code': None, 'country_code': 'AUS', 'latitude': -37.814541, 'longitude': 144.9705}]",Coremetrics France,25B Avenue du Petit Parc,,94300,Vincennes,,FRA,48.843399,2.428526
9,X-PRIME,advertising,"[{'description': 'Headquarters', 'address1': ""99 route d'Espagne"", 'address2': '', 'zip_code': '31100', 'city': 'Toulouse', 'state_code': None, 'country_code': 'FRA', 'latitude': 43.561452, 'longitude': 1.425107}]",Headquarters,99 route d'Espagne,,31100,Toulouse,,FRA,43.561452,1.425107
11,ALENTY,advertising,"[{'description': 'Headquarters', 'address1': '18, rue Yves Toudic', 'address2': '', 'zip_code': '75010', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8696389, 'longitude': 2.369933}, {'description': 'R&D center', 'address1': ""140 boulevard de Greac'h Gwen"", 'address2': '', 'zip_code': '29000', 'city': 'Quimper', 'state_code': None, 'country_code': 'FRA', 'latitude': 47.9763748, 'longitude': -4.0991927}]",Headquarters,"18, rue Yves Toudic",,75010,Paris,,FRA,48.8696389,2.369933
11,ALENTY,advertising,"[{'description': 'Headquarters', 'address1': '18, rue Yves Toudic', 'address2': '', 'zip_code': '75010', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8696389, 'longitude': 2.369933}, {'description': 'R&D center', 'address1': ""140 boulevard de Greac'h Gwen"", 'address2': '', 'zip_code': '29000', 'city': 'Quimper', 'state_code': None, 'country_code': 'FRA', 'latitude': 47.9763748, 'longitude': -4.0991927}]",R&D center,140 boulevard de Greac'h Gwen,,29000,Quimper,,FRA,47.9763748,-4.0991927
12,Wanteed,advertising,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '75001', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8640493, 'longitude': 2.3310526}]",,,,75001,Paris,,FRA,48.8640493,2.3310526
13,ividence,advertising,"[{'description': 'Paris HQ', 'address1': '15, rue Marsollier', 'address2': 'Suite 4607', 'zip_code': '75002', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8682244, 'longitude': 2.3347594}, {'description': 'San Francisco', 'address1': '1700 Montgomery St', 'address2': '', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'New York', 'address1': '140 Broadway', 'address2': 'Suite 4607', 'zip_code': '10005', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",Paris HQ,"15, rue Marsollier",Suite 4607,75002,Paris,,FRA,48.8682244,2.3347594
