,name,latitude,longitude,type
0,Saveurs Végét'Halles,48.860489,2.345682,"{'typepoint': {'type': 'Point', 'coordinates': [48.860489, 2.345682]}}"
1,Dernier Bar Avant la Fin du Monde,48.857952,2.346294,"{'typepoint': {'type': 'Point', 'coordinates': [48.857952, 2.346294]}}"
2,Gaby Super Natural Vegan,48.865803,2.343656,"{'typepoint': {'type': 'Point', 'coordinates': [48.865803, 2.343656]}}"
3,Chez Germain,48.85329,2.341758,"{'typepoint': {'type': 'Point', 'coordinates': [48.85329, 2.341758]}}"
4,On the Bab,48.866269,2.33499,"{'typepoint': {'type': 'Point', 'coordinates': [48.866269, 2.33499]}}"
5,Exki France,48.861445,2.353143,"{'typepoint': {'type': 'Point', 'coordinates': [48.861445, 2.353143]}}"
6,L'abattoir végétal st Germain,48.851857,2.33466,"{'typepoint': {'type': 'Point', 'coordinates': [48.851857, 2.33466]}}"
7,Abattoir Végétal,48.851858,2.334659,"{'typepoint': {'type': 'Point', 'coordinates': [48.851858, 2.334659]}}"
8,Mopa,48.86886,2.343789,"{'typepoint': {'type': 'Point', 'coordinates': [48.86886, 2.343789]}}"
9,Riz Riz,48.864376,2.352857,"{'typepoint': {'type': 'Point', 'coordinates': [48.864376, 2.352857]}}"
