,name,latitude,longitude,type
0,Banana Café,48.860134,2.347703,"{'typepoint': {'type': 'Point', 'coordinates': [48.860134, 2.347703]}}"
1,Le Klub,48.858997,2.347874,"{'typepoint': {'type': 'Point', 'coordinates': [48.858997, 2.347874]}}"
2,California Avenue,48.859559,2.348301,"{'typepoint': {'type': 'Point', 'coordinates': [48.859559, 2.348301]}}"
3,C.t.a.m.,48.864787,2.334613,"{'typepoint': {'type': 'Point', 'coordinates': [48.864787, 2.334613]}}"
4,L'Annexe,48.855103,2.345943,"{'typepoint': {'type': 'Point', 'coordinates': [48.855103, 2.345943]}}"
5,Le Rexy Club,48.862709,2.349265,"{'typepoint': {'type': 'Point', 'coordinates': [48.862709, 2.349265]}}"
6,Jammin Club,48.859938,2.35094,"{'typepoint': {'type': 'Point', 'coordinates': [48.859938, 2.35094]}}"
7,Le Relais de la Huchette,48.853026,2.345802,"{'typepoint': {'type': 'Point', 'coordinates': [48.853026, 2.345802]}}"
8,Club les Bains,48.86384,2.351867,"{'typepoint': {'type': 'Point', 'coordinates': [48.86384, 2.351867]}}"
9,Le Réservoir,48.863823,2.352084,"{'typepoint': {'type': 'Point', 'coordinates': [48.863823, 2.352084]}}"
